date,open,high,low,close,volume
2016-03-30,8368.2001953125,8474.25,8368.2001953125,8459.900390625,302100
2016-03-31,8426.150390625,8503.5498046875,8385.650390625,8424.599609375,730800
2016-04-01,8404.25,8424.599609375,8310.2998046875,8347.75,275400
2016-04-04,8383.150390625,8396.2998046875,8314.2998046875,8371.75,259400
2016-04-05,8369.5,8420.099609375,8281.2998046875,8294.849609375,278900
2016-04-06,8343.2001953125,8353.099609375,8263.7998046875,8340.2001953125,271400
2016-04-07,8379.599609375,8402.349609375,8302.4501953125,8350.9501953125,822200
2016-04-08,8357.7001953125,8444.7001953125,8327.75,8400.4501953125,318400
2016-04-11,8410.5498046875,8492.9501953125,8403.2998046875,8484.099609375,297200
2016-04-12,8494.599609375,8583.099609375,8489.400390625,8554.0498046875,296300
2016-04-13,8620.5498046875,8694.7001953125,8617.7998046875,8678.0498046875,339500
2016-04-18,8674.9501953125,8710.7998046875,8603.650390625,8694.900390625,297900
2016-04-20,8717.0,8717.0,8595.75,8610.349609375,300800
2016-04-21,8650.849609375,8714.2001953125,8600.099609375,8641.900390625,264000
2016-04-22,8633.849609375,8675.599609375,8607.75,8659.0,212300
2016-04-25,8668.400390625,8668.400390625,8479.9501953125,8523.4501953125,304900
2016-04-26,8510.9501953125,8596.5498046875,8485.7998046875,8554.650390625,308700
2016-04-27,8562.400390625,8641.650390625,8558.599609375,8609.349609375,245300
2016-04-28,8591.150390625,8613.25,8386.099609375,8410.7998046875,496800
2016-04-29,8408.349609375,8457.25,8337.2998046875,8404.650390625,254200
2016-05-02,8398.599609375,8441.650390625,8374.25,8419.099609375,197200
2016-05-03,8435.0,8483.099609375,8324.9501953125,8341.900390625,314300
2016-05-04,8316.400390625,8364.7998046875,8289.0,8306.7001953125,245000
2016-05-05,8323.7998046875,8327.7001953125,8260.0498046875,8289.0498046875,214400
2016-05-06,8273.099609375,8311.2001953125,8238.5498046875,8299.9501953125,227900
2016-05-09,8340.7998046875,8406.2001953125,8327.5498046875,8395.75,272500
2016-05-10,8402.650390625,8402.650390625,8323.849609375,8340.2001953125,216300
2016-05-11,8274.349609375,8326.5498046875,8245.7001953125,8288.349609375,219200
2016-05-12,8303.0498046875,8391.150390625,8303.0498046875,8380.0498046875,220600
2016-05-13,8350.7001953125,8365.9501953125,8278.0,8303.7001953125,234800
2016-05-16,8305.25,8316.4501953125,8239.400390625,8276.75,263100
2016-05-17,8331.9501953125,8353.599609375,8280.099609375,8290.9501953125,356800
2016-05-18,8267.0,8337.2998046875,8261.0498046875,8287.0,234900
2016-05-19,8283.2001953125,8288.849609375,8162.10009765625,8186.35009765625,234200
2016-05-20,8204.0,8229.150390625,8118.2001953125,8131.75,209300
2016-05-23,8173.25,8176.14990234375,8099.5498046875,8105.5498046875,250000
2016-05-24,8106.0,8161.4501953125,8096.85009765625,8118.0,259500
2016-05-25,8187.7001953125,8272.5,8160.10009765625,8260.150390625,194300
2016-05-26,8266.400390625,8304.25,8224.4501953125,8280.849609375,396800
2016-05-27,8331.849609375,8498.599609375,8331.849609375,8454.0,451500
2016-05-30,8479.5498046875,8508.0,8401.349609375,8450.9501953125,317100
2016-05-31,8460.9501953125,8476.0,8360.2001953125,8373.2001953125,823100
2016-06-01,8398.650390625,8428.0498046875,8352.650390625,8363.9501953125,241600
2016-06-02,8359.9501953125,8415.099609375,8317.849609375,8401.650390625,217700
2016-06-03,8432.349609375,8467.9501953125,8418.0,8447.0,249900
2016-06-06,8445.7998046875,8464.900390625,8383.7001953125,8397.150390625,164200
2016-06-07,8428.0,8446.900390625,8387.25,8400.2001953125,250300
2016-06-08,8422.4501953125,8444.849609375,8393.900390625,8428.349609375,209100
2016-06-09,8469.7998046875,8587.849609375,8469.349609375,8546.25,319900
2016-06-10,8553.599609375,8630.5,8507.9501953125,8546.900390625,222400
2016-06-13,8493.75,8537.400390625,8441.099609375,8527.900390625,245900
2016-06-14,8541.650390625,8544.849609375,8446.7001953125,8481.849609375,186400
2016-06-15,8513.0,8618.400390625,8512.25,8609.0498046875,201500
2016-06-16,8594.2998046875,8604.0,8487.099609375,8557.5,208900
2016-06-17,8574.349609375,8587.7998046875,8510.9501953125,8551.599609375,263300
2016-06-20,8522.9501953125,8649.400390625,8501.7998046875,8633.2001953125,196800
2016-06-21,8660.75,8660.75,8580.150390625,8616.5498046875,220100
2016-06-22,8614.7998046875,8621.7998046875,8561.25,8592.099609375,178500
2016-06-23,8563.7001953125,8609.650390625,8493.849609375,8602.5,272400
2016-06-24,8450.650390625,8450.650390625,8280.0498046875,8428.2998046875,273000
2016-06-27,8353.5,8504.9501953125,8353.5,8472.650390625,182500
2016-06-28,8493.650390625,8529.650390625,8483.150390625,8512.900390625,208400
2016-06-29,8542.0,8639.75,8529.2998046875,8626.0498046875,244300
2016-06-30,8665.900390625,8737.849609375,8647.599609375,8705.099609375,470800
2016-07-01,8728.849609375,8867.2001953125,8724.650390625,8849.2998046875,375300
2016-07-04,8889.400390625,8989.349609375,8889.400390625,8954.849609375,337600
2016-07-05,8947.0498046875,9025.349609375,8902.5498046875,8911.25,262300
2016-07-07,8910.900390625,8937.7001953125,8866.7001953125,8888.7001953125,266300
