feature,importance
kc_width,0.01389261
ha_trend,0.011756537
dist_from_low_20,0.010030845
vix_lag1,0.009928397
roc_5,0.009389187
tcs_adx,0.009024782
shanghai_macd,0.008596482
vix_usvix_ratio,0.008585215
ema_dist_10,0.008550191
natgas_rsi,0.008338788
shanghai_rsi,0.008337137
pharma_macd,0.008168823
rsi_lag5,0.00816832
month_cos,0.0081240665
eem_wr,0.008114916
hdfc_ret,0.008030797
fmcg_adx,0.007873046
us10y_macd,0.0077961157
vix_lag3,0.0075953985
crude_macd,0.0075945505
tcs_macd,0.007479163
sp_ret,0.007465574
macd_hist,0.007399413
rsi_lag1,0.0073048617
pe_ratio,0.007245064
bn_macd,0.007186834
silver_rsi,0.0071788826
auto_ret,0.007115155
vix_lag2,0.007061638
metal_rsi,0.00699306
eem_adx,0.00698276
fmcg_macd,0.0068452754
rel_rsi,0.006825754
dist_from_high_20,0.0068016537
hdfc_macd,0.0067958306
auto_wr,0.006770263
rel_adx,0.0067589562
sell_pct,0.0067039686
bb_width,0.006691689
crude_adx,0.0066844984
energy_adx,0.006608018
eem_rsi,0.006520048
us_vix_macd,0.006514492
macd_hist_lag2,0.0065108817
rsi,0.0064749685
silver_macd,0.0064608636
auto_macd,0.006451647
ndx_ret,0.0064502913
inda_rsi,0.006438326
it_wr,0.006431926
it_adx,0.006422248
gold_adx,0.0063501857
itc_wr,0.0063257543
hsi_rsi,0.006244247
gold_wr,0.006230247
nikkei_macd,0.00621061
bb_squeeze,0.006157873
copper_macd,0.006134065
hsi_macd,0.0061094933
z20,0.006095255
tcs_rsi,0.006077652
roc_20,0.0060746833
dxy_rsi,0.006072519
metal_ret,0.006035429
shanghai_ret,0.006028162
gold_crude_ratio,0.005985805
rel_wr,0.005969988
or_range,0.0059680264
pharma_wr,0.005967943
pharma_adx,0.0059583224
ndx_rsi,0.0059520085
natgas_macd,0.005904427
adx,0.005881529
dxy_ret,0.0058585014
vwap_dev,0.0058553726
body_pct,0.0058504003
itc_adx,0.0058428836
bn_nifty_ratio,0.005826647
icici_adx,0.005811314
atr_expansion,0.0058042575
inda_wr,0.0057959133
it_macd,0.0057686563
williams_r,0.0057675266
lower_wick,0.0057598944
us_vix_rsi,0.0057535823
range_pctile,0.0057257907
macd_hist_lag1,0.0057064593
rsi_slope,0.005601148
hdfc_adx,0.005570776
inda_adx,0.005547579
month_sin,0.005516796
us_vix_adx,0.0054700547
tcs_wr,0.005461431
eem_ret,0.0054200734
eem_macd,0.0053921617
gold_rsi,0.005386067
rsi_lag3,0.0053755627
ret_3d,0.005373394
infra_adx,0.005350398
pharma_rsi,0.005308771
auto_adx,0.005302072
roc_10,0.005297191
icici_macd,0.005246721
infra_ret,0.005238639
energy_rsi,0.0052295052
crude_rsi,0.0052102264
infra_wr,0.0051675616
hsi_ret,0.005165046
energy_macd,0.00513624
bn_rsi,0.0051333928
it_ret,0.005120029
crude_wr,0.005060189
energy_wr,0.0050322246
copper_ret,0.005027435
nikkei_ret,0.00500847
us10y_rsi,0.005005214
us_vix_wr,0.004967591
metal_adx,0.004961495
metal_wr,0.004930089
macd_hist_lag3,0.0049007903
itc_ret,0.0048337593
inda_macd,0.004808482
upper_wick,0.004787912
vix_change,0.0047454005
intraday_trend,0.004723748
tcs_ret,0.0047047613
energy_ret,0.0046843453
rsi_lag2,0.00466028
dxy_macd,0.0046297773
hdfc_wr,0.0046121604
infra_rsi,0.0045968443
trend,0.0045493757
usdinr_z,0.00446414
crude_ret,0.00445843
icici_wr,0.004453401
us10y_ret,0.004415793
vix_pct,0.0044007497
spread,0.0043610744
auto_rsi,0.004360193
gap_pct,0.0043501663
vix_lag5,0.004339692
ema_dist_50,0.00433735
pharma_ret,0.0043224953
natgas_ret,0.0042975736
ndx_macd,0.0042219884
icici_rsi,0.0042179152
copper_rsi,0.0041134893
nikkei_rsi,0.0040572467
atr_ratio,0.0040339576
vix_ma_ratio,0.004028478
itc_macd,0.0040147854
hdfc_rsi,0.003959351
fmcg_wr,0.003926068
rel_ret,0.0038847176
fmcg_rsi,0.0038440572
metal_macd,0.0038316103
cmf_proxy,0.0038012746
gold_macd,0.0037897613
silver_ret,0.0037757286
rel_macd,0.0037488071
bn_vs_nifty,0.0036959245
fmcg_ret,0.0036912344
close_position,0.0036487218
gold_ret,0.00362246
it_rsi,0.003574929
vix_accel,0.0035433287
itc_rsi,0.0034574957
us_vix_ret,0.0033515585
inda_ret,0.0032364638
icici_ret,0.0031803157
dow_cos,0.003005465
infra_macd,0.002849299
buy_pct,0.0027488885
gap_filled,0.0023937402
consec_up,0.0023342764
dow_sin,0.0022728152
ret_20d,0.0
obv_slope,0.0
engulfing,0.0
vix_spike,0.0
momentum_div,0.0
ret_10d,0.0
ret_5d,0.0
