feature,importance
metal_macd,0.025193546
fmcg_macd,0.017011048
bn_macd,0.016903874
gold_crude_ratio,0.016516315
eem_adx,0.01606632
pharma_macd,0.015065644
hsi_macd,0.01452019
roc_20,0.013853712
natgas_macd,0.013771263
kc_width,0.013587462
pharma_wr,0.013494884
crude_adx,0.013471647
macd_hist,0.013300401
pharma_adx,0.012969823
itc_macd,0.012909136
energy_macd,0.0128374435
it_macd,0.012688983
gold_adx,0.012249106
us10y_rsi,0.011970664
pe_ratio,0.011969054
tcs_macd,0.011786529
rsi_lag3,0.011661162
dist_from_low_20,0.01159511
inda_adx,0.011431342
month_cos,0.01120758
rel_macd,0.011196415
dxy_macd,0.011085103
spread,0.011001895
bn_nifty_ratio,0.010972796
it_adx,0.010965054
month_sin,0.010788659
energy_adx,0.010705189
us_vix_adx,0.01068696
icici_adx,0.010587222
hdfc_rsi,0.010570433
crude_macd,0.010406361
us_vix_macd,0.010368349
vix_usvix_ratio,0.010319529
vix_lag1,0.010278845
nikkei_macd,0.010115078
us10y_macd,0.01010671
vix_lag3,0.010023472
copper_macd,0.009837848
rel_adx,0.00982799
tcs_adx,0.009747823
eem_macd,0.009619229
eem_wr,0.009438774
usdinr_z,0.009431744
fmcg_adx,0.0094310455
auto_macd,0.009424725
icici_macd,0.009368879
infra_macd,0.0091701895
vix_pct,0.009135642
vix_lag2,0.00910034
itc_adx,0.009024382
ha_trend,0.008966291
silver_macd,0.0085889725
metal_adx,0.008562362
energy_rsi,0.008521633
ret_10d,0.008457281
energy_wr,0.008258797
crude_ret,0.00805635
macd_hist_lag3,0.00795158
auto_adx,0.007764793
metal_wr,0.007631847
itc_rsi,0.007554169
shanghai_macd,0.0073967613
infra_adx,0.007323771
hdfc_adx,0.007314262
ema_dist_50,0.00712303
auto_wr,0.006997938
crude_rsi,0.0069859545
inda_macd,0.0069598085
it_rsi,0.006918524
us_vix_rsi,0.0069058402
adx,0.0068858587
icici_rsi,0.0067911013
bb_width,0.006773904
shanghai_rsi,0.0067295134
copper_rsi,0.006499212
intraday_trend,0.0063663884
it_wr,0.0063150073
dist_from_high_20,0.0063103335
inda_ret,0.0062621394
vix_lag5,0.006145735
macd_hist_lag1,0.005535884
gold_macd,0.005451717
fmcg_wr,0.0052471086
pharma_rsi,0.0052256216
hdfc_macd,0.0050853877
silver_rsi,0.0050724326
vix_ma_ratio,0.004919136
williams_r,0.004911206
dxy_rsi,0.004880531
atr_expansion,0.0048010997
tcs_rsi,0.004566301
bn_rsi,0.004508703
atr_ratio,0.004475878
natgas_rsi,0.0043819
range_pctile,0.0042455676
rel_wr,0.0042444863
sp_ret,0.0039676162
rel_rsi,0.0038036502
icici_ret,0.0029001676
ndx_rsi,0.0027926096
shanghai_ret,0.002619472
eem_rsi,0.0025992556
auto_rsi,0.0025564504
vix_change,0.0025126915
gold_rsi,0.0023728074
tcs_ret,0.0022805363
us_vix_ret,0.002094314
roc_10,0.002048168
rsi_lag5,0.0019907271
infra_wr,0.0017931538
rsi,0.0017705956
fmcg_rsi,0.001624324
z20,0.0015607724
inda_rsi,0.0014708538
vix_accel,0.001438476
icici_wr,0.0011497573
pharma_ret,0.001137692
us_vix_wr,0.0006913223
rsi_lag1,0.0006690734
roc_5,0.00061733415
silver_ret,0.00054936396
crude_wr,0.0005162049
hsi_ret,0.0004406824
upper_wick,0.000416018
inda_wr,0.00037806103
dow_sin,0.00036438403
copper_ret,0.0003435453
auto_ret,0.0003125858
metal_rsi,0.00030068867
vwap_dev,0.00027555772
bn_vs_nifty,0.0
momentum_div,0.0
ema_dist_10,0.0
close_position,0.0
obv_slope,0.0
gap_pct,0.0
gap_filled,0.0
engulfing,0.0
cmf_proxy,0.0
macd_hist_lag2,0.0
dow_cos,0.0
bb_squeeze,0.0
rsi_slope,0.0
trend,0.0
vix_spike,0.0
rsi_lag2,0.0
ret_20d,0.0
metal_ret,0.0
energy_ret,0.0
fmcg_ret,0.0
it_ret,0.0
gold_wr,0.0
rel_ret,0.0
hdfc_ret,0.0
gold_ret,0.0
eem_ret,0.0
hdfc_wr,0.0
dxy_ret,0.0
infra_rsi,0.0
infra_ret,0.0
tcs_wr,0.0
itc_ret,0.0
ndx_ret,0.0
ndx_macd,0.0
itc_wr,0.0
natgas_ret,0.0
nikkei_rsi,0.0
us10y_ret,0.0
hsi_rsi,0.0
nikkei_ret,0.0
ret_5d,0.0
ret_3d,0.0
lower_wick,0.0
body_pct,0.0
buy_pct,0.0
consec_up,0.0
or_range,0.0
sell_pct,0.0
