feature,importance
vix_lag1,0.038796697
vix_lag2,0.030043218
bn_rsi,0.020396076
pe_ratio,0.015012198
vix_lag3,0.013036495
kc_width,0.012804831
dist_from_high_20,0.012790961
hdfc_macd,0.012673112
bn_macd,0.010478629
crude_adx,0.010300405
inda_adx,0.010131868
vwap_dev,0.010044235
ret_20d,0.009923971
vix_pct,0.009612335
ndx_macd,0.009592025
auto_macd,0.009421263
dist_from_low_20,0.009113264
close_position,0.008999178
us_vix_adx,0.008882029
vix_spike,0.00886476
rsi_lag2,0.008471605
auto_wr,0.008418694
ret_5d,0.008387721
crude_macd,0.008378211
ema_dist_50,0.008337152
energy_rsi,0.008329643
energy_adx,0.007571016
metal_adx,0.0075673154
rel_wr,0.00754296
us_vix_macd,0.0075356034
it_macd,0.007513175
nikkei_macd,0.0073861806
ema_dist_10,0.0072020316
roc_10,0.00717603
intraday_trend,0.007119139
rsi_lag3,0.006918254
it_adx,0.006893401
infra_rsi,0.006866756
silver_macd,0.0067754295
rsi_lag1,0.0066709206
itc_macd,0.006648763
hsi_rsi,0.0066454774
energy_macd,0.0066184094
gold_macd,0.00657913
infra_macd,0.0065600225
spread,0.0065541854
atr_ratio,0.0064936527
ret_3d,0.006442667
month_cos,0.006441915
pharma_adx,0.0063666515
hdfc_adx,0.0062522115
infra_ret,0.0062212106
rel_adx,0.0061880574
bn_nifty_ratio,0.006180546
rsi,0.0061763753
buy_pct,0.006107132
ndx_ret,0.0060963556
bb_width,0.0060743014
dxy_macd,0.0060206098
nikkei_rsi,0.005958188
fmcg_macd,0.00593883
shanghai_macd,0.005874525
williams_r,0.0058044875
eem_rsi,0.005770658
gold_rsi,0.0057493444
metal_rsi,0.005741973
macd_hist_lag1,0.0057147867
hdfc_wr,0.0057070153
it_rsi,0.0057023214
itc_adx,0.005695371
fmcg_rsi,0.005670996
atr_expansion,0.005636605
eem_macd,0.005629749
icici_adx,0.00559214
macd_hist_lag2,0.005574202
gold_wr,0.00555206
bn_vs_nifty,0.005530985
it_wr,0.0055131167
copper_rsi,0.00550694
macd_hist,0.005492196
itc_ret,0.005488196
rsi_slope,0.00546424
tcs_adx,0.0053746398
it_ret,0.00537292
adx,0.005335317
us10y_ret,0.005274591
infra_adx,0.0052521513
hsi_ret,0.005239045
fmcg_adx,0.0052275425
gold_crude_ratio,0.0051987143
vix_change,0.005191617
inda_macd,0.0051661604
silver_rsi,0.0051588104
inda_rsi,0.0051485845
icici_ret,0.0051174
sell_pct,0.005017948
vix_lag5,0.0049715806
tcs_macd,0.004959534
tcs_rsi,0.0049527586
ret_10d,0.0049183113
usdinr_z,0.0048786183
auto_adx,0.004851605
month_sin,0.004842621
icici_macd,0.0048130755
crude_wr,0.004772563
us10y_macd,0.0047139083
rel_rsi,0.0047043655
rsi_lag5,0.0046718027
hsi_macd,0.0046514175
itc_rsi,0.004566223
cmf_proxy,0.00452427
vix_usvix_ratio,0.004513945
pharma_rsi,0.004453919
natgas_rsi,0.0044460217
energy_ret,0.004442227
itc_wr,0.0044285394
sp_ret,0.004409579
fmcg_wr,0.0043565016
us_vix_rsi,0.0043519437
dxy_rsi,0.004328994
silver_ret,0.004326215
infra_wr,0.0042969338
natgas_macd,0.0042583123
roc_5,0.0041622566
energy_wr,0.004109368
eem_adx,0.004107055
pharma_ret,0.0040061926
hdfc_rsi,0.0039904057
ndx_rsi,0.003988918
or_range,0.0039629717
shanghai_ret,0.0038806167
fmcg_ret,0.0037907416
auto_rsi,0.0037391766
rel_macd,0.0036885226
copper_macd,0.0036532704
crude_ret,0.003627851
crude_rsi,0.0035852958
z20,0.003525742
gold_adx,0.0034888547
roc_20,0.0034885823
pharma_macd,0.003452667
metal_macd,0.003433035
shanghai_rsi,0.0033857992
pharma_wr,0.0033617888
vix_ma_ratio,0.003227941
us10y_rsi,0.0032228294
metal_wr,0.0030500449
hdfc_ret,0.003045717
tcs_wr,0.002902142
icici_rsi,0.0028126398
vix_accel,0.0027641943
lower_wick,0.0027012124
gold_ret,0.0026774686
upper_wick,0.0026721708
dxy_ret,0.002611353
bb_squeeze,0.0025461167
tcs_ret,0.002328818
icici_wr,0.0022212337
dow_sin,0.0019367316
gap_pct,0.0016414461
body_pct,0.0013716514
inda_ret,0.0013688173
inda_wr,0.0013072949
metal_ret,0.0012525147
eem_wr,0.0010953014
eem_ret,0.0009466454
auto_ret,0.0006806025
rel_ret,0.00039619554
range_pctile,0.00022736148
macd_hist_lag3,0.0001258281
gap_filled,0.0
ha_trend,0.0
obv_slope,0.0
dow_cos,0.0
trend,0.0
engulfing,0.0
momentum_div,0.0
us_vix_ret,0.0
us_vix_wr,0.0
copper_ret,0.0
natgas_ret,0.0
nikkei_ret,0.0
consec_up,0.0
is_expiry_week,0.0
