feature,importance
vix_lag1,0.030551545
vix_lag2,0.022411585
vix_lag3,0.016031789
ret_10d,0.012695383
consec_up,0.012551752
dist_from_high_20,0.012357326
ema_dist_50,0.012207923
icici_macd,0.011791168
ema_dist_10,0.011060335
bn_macd,0.010402784
copper_rsi,0.00940367
vix_ma_ratio,0.009241356
us_vix_rsi,0.008838083
sp_ret,0.008663101
fmcg_rsi,0.008620301
tcs_rsi,0.008512138
vwap_dev,0.008459176
us_vix_macd,0.008454206
it_macd,0.008299557
eem_wr,0.0078075915
pe_ratio,0.007757402
bn_rsi,0.00764777
gold_crude_ratio,0.007175575
pcr_z,0.007115411
infra_adx,0.006866943
itc_macd,0.0068451082
rsi_lag1,0.0068357815
vix_lag5,0.0068160114
inda_wr,0.0067401677
roc_5,0.006727158
macd_hist_lag1,0.0066859047
it_rsi,0.006668126
or_range,0.006621975
copper_macd,0.006425845
icici_rsi,0.0063203494
shanghai_macd,0.0062760515
auto_ret,0.0062466376
inda_macd,0.006127252
crude_adx,0.006105335
roc_20,0.0060624997
metal_macd,0.0060092704
infra_wr,0.00600415
usdinr_z,0.0060021225
vix_pct,0.0060015502
rsi_lag5,0.0059714187
dxy_macd,0.0059253355
fmcg_wr,0.0059213205
dow_sin,0.005891715
crude_wr,0.0058770105
month_sin,0.005865465
ndx_macd,0.00579893
pharma_wr,0.005770361
hsi_macd,0.0057603167
energy_wr,0.0057360805
bn_nifty_ratio,0.0057340874
z20,0.0057113874
infra_macd,0.005710127
ha_trend,0.005700381
natgas_macd,0.0056922333
ndx_rsi,0.0056907623
us_vix_adx,0.005677717
infra_rsi,0.0056650233
us10y_rsi,0.0056418995
energy_adx,0.0056026615
spread,0.0055948202
silver_macd,0.0055932645
hdfc_rsi,0.005563479
momentum_div,0.0054895473
hsi_rsi,0.0054873894
rel_wr,0.0054800385
atr_expansion,0.0054680575
itc_rsi,0.0054083895
macd_hist_lag3,0.005381175
williams_r,0.0053318883
hdfc_adx,0.0053170337
cmf_proxy,0.005245492
dist_from_low_20,0.005203354
lower_wick,0.005120401
vix_accel,0.0050496985
adx,0.0050394745
crude_ret,0.005008857
intraday_trend,0.0049720956
metal_ret,0.0049270014
sell_pct,0.00491009
pharma_macd,0.004889183
ret_5d,0.004883323
engulfing,0.0048406105
shanghai_rsi,0.00483158
atr_ratio,0.004827445
macd_hist_lag2,0.0048268507
crude_rsi,0.004729021
us10y_macd,0.0047140773
rel_adx,0.004687631
crude_macd,0.004668701
metal_rsi,0.0046664523
kc_width,0.0046564536
dxy_rsi,0.0046516005
auto_rsi,0.0046354616
energy_rsi,0.0046347296
us_vix_ret,0.0046330113
eem_ret,0.004618495
it_wr,0.004609599
natgas_ret,0.0046022376
hdfc_ret,0.004551471
vix_usvix_ratio,0.0045442516
rel_ret,0.00454269
icici_wr,0.004539008
nikkei_rsi,0.004506703
ndx_ret,0.004505088
vix_change,0.0044691437
icici_adx,0.004468267
macd_hist,0.004466752
rsi,0.004458699
fmcg_ret,0.004435905
silver_ret,0.00442146
auto_wr,0.0044200784
month_cos,0.004352384
fmcg_adx,0.0043512387
it_adx,0.0043388
metal_adx,0.004307546
rsi_lag3,0.0042868867
gold_macd,0.0042229607
inda_ret,0.0041561215
buy_pct,0.004154168
hdfc_wr,0.004147976
itc_adx,0.0041474854
us_vix_wr,0.004144206
itc_wr,0.004134987
tcs_macd,0.0041255956
range_pctile,0.0040767784
tcs_wr,0.004048583
hdfc_macd,0.00403516
gold_wr,0.0039987112
auto_adx,0.003943755
tcs_ret,0.0039111343
natgas_rsi,0.0039016968
rsi_lag2,0.003872606
close_position,0.0038663761
gap_pct,0.0038529648
ret_3d,0.0038329512
pharma_rsi,0.0038241872
eem_adx,0.0038195362
tcs_adx,0.0037933
hsi_ret,0.0037676557
rsi_slope,0.0037077058
upper_wick,0.0037043928
copper_ret,0.0036923806
auto_macd,0.003633406
pharma_ret,0.0036303848
bb_width,0.0036260416
eem_macd,0.0036217077
us10y_ret,0.0035639247
silver_rsi,0.0035618846
eem_rsi,0.0035595675
nikkei_macd,0.0035239635
itc_ret,0.0035067347
infra_ret,0.0034999151
dow_cos,0.0034874498
roc_10,0.003481503
it_ret,0.0033926347
pharma_adx,0.003334108
dxy_ret,0.0033271303
nikkei_ret,0.0032939438
bn_vs_nifty,0.0032664274
inda_rsi,0.0032522778
inda_adx,0.003220972
metal_wr,0.003186544
body_pct,0.0031435695
gold_rsi,0.0031241004
gap_filled,0.0031102893
icici_ret,0.0030031349
fmcg_macd,0.002926454
bb_squeeze,0.002904191
gold_ret,0.002828921
shanghai_ret,0.0028057017
rel_rsi,0.002732371
energy_macd,0.002703853
energy_ret,0.0027010937
gold_adx,0.00258818
trend,0.0024981897
ret_20d,0.0024178054
rel_macd,0.0017045385
obv_slope,0.0
vix_spike,0.0
