feature,importance
vix_lag1,0.013904882
vix_lag2,0.009326178
hsi_macd,0.009007097
auto_rsi,0.008689078
bn_macd,0.008601727
silver_rsi,0.008068768
us10y_macd,0.007928498
pe_ratio,0.007881424
dist_from_high_20,0.007775038
crude_macd,0.007745986
hsi_rsi,0.007700392
vix_lag5,0.0076579778
sp_ret,0.0075845495
energy_macd,0.007468245
shanghai_rsi,0.0073363767
gold_macd,0.0072548995
trend,0.0072058868
ndx_macd,0.007160458
infra_wr,0.007109502
icici_macd,0.0070908912
itc_rsi,0.007084918
us10y_rsi,0.0070222104
us_vix_rsi,0.0069344463
rel_rsi,0.006892607
vix_lag3,0.0067289546
it_adx,0.0067254244
bb_width,0.0066525238
roc_5,0.006642501
icici_wr,0.006624094
z20,0.0065971315
energy_adx,0.0065871584
infra_adx,0.0065809316
tcs_macd,0.0065408554
ndx_rsi,0.0064733718
dist_from_low_20,0.0064470363
copper_rsi,0.006376344
month_sin,0.0063521387
infra_rsi,0.0063344142
metal_wr,0.0062607885
dxy_ret,0.006212322
vix_ma_ratio,0.0062121917
macd_hist_lag1,0.006163974
ema_dist_10,0.006077937
nikkei_rsi,0.0060371445
pharma_rsi,0.0060294885
ret_3d,0.006022751
infra_macd,0.0060174437
gold_wr,0.00600716
rel_wr,0.0059905346
hdfc_adx,0.005979228
itc_wr,0.005971128
body_pct,0.0059608957
auto_adx,0.0059466083
itc_adx,0.005941047
shanghai_macd,0.005936113
metal_adx,0.005935309
icici_adx,0.0059132758
energy_rsi,0.0059111947
eem_macd,0.0058963452
rsi_lag2,0.0058883387
eem_wr,0.0058855545
us_vix_macd,0.0058577
gold_rsi,0.0058055287
hdfc_macd,0.005739173
roc_20,0.0057359613
natgas_macd,0.0057152784
gold_adx,0.005649279
dxy_rsi,0.0056463843
energy_wr,0.00564428
it_macd,0.0056404695
rsi_lag1,0.0056142835
atr_expansion,0.0056096585
silver_macd,0.005606395
gold_crude_ratio,0.0056045423
copper_macd,0.00560319
hdfc_rsi,0.0055970377
pharma_adx,0.005594493
dxy_macd,0.0055536292
infra_ret,0.0055446294
lower_wick,0.0055149947
auto_macd,0.0055079497
inda_macd,0.0055030836
roc_10,0.0054544345
crude_adx,0.0054535987
kc_width,0.005408158
us10y_ret,0.005407048
inda_rsi,0.005399796
vwap_dev,0.005396807
fmcg_rsi,0.005386464
atr_ratio,0.0053701075
crude_wr,0.0053561907
metal_macd,0.005356186
tcs_adx,0.0053553693
metal_ret,0.00534738
fmcg_macd,0.005343192
rsi_lag5,0.0053212326
hdfc_wr,0.0053136353
us_vix_wr,0.005280056
range_pctile,0.0052612075
us_vix_ret,0.0052506737
ema_dist_50,0.0052496963
macd_hist_lag2,0.005237145
rsi_lag3,0.0052248645
bn_nifty_ratio,0.0051962356
vix_spike,0.0051888158
eem_adx,0.0051529454
inda_wr,0.0051508746
us_vix_adx,0.0051409313
itc_ret,0.0051386813
natgas_rsi,0.005138088
fmcg_adx,0.005091981
crude_rsi,0.0050595156
nikkei_macd,0.0050492887
engulfing,0.0050357725
itc_macd,0.005035499
icici_ret,0.0050245854
tcs_rsi,0.0050188145
gap_filled,0.005010629
nikkei_ret,0.005008259
or_range,0.004996032
natgas_ret,0.0049876855
upper_wick,0.004981274
inda_adx,0.0049693706
intraday_trend,0.0049638967
fmcg_wr,0.004961156
rel_macd,0.004929596
ha_trend,0.0049282606
adx,0.0049150125
vix_accel,0.0048993407
eem_ret,0.004877644
tcs_wr,0.0048493594
pharma_macd,0.0048168665
spread,0.0047812406
rel_adx,0.0047805407
crude_ret,0.004771976
vix_usvix_ratio,0.00476882
sell_pct,0.0047488813
cmf_proxy,0.004729952
williams_r,0.0047008917
metal_rsi,0.004699628
fmcg_ret,0.004681618
silver_ret,0.0046081687
consec_up,0.004588404
macd_hist_lag3,0.0045866584
it_ret,0.00458017
bn_rsi,0.0045740753
copper_ret,0.004532641
energy_ret,0.0045150095
inda_ret,0.004512415
gap_pct,0.0045072157
auto_wr,0.004489255
buy_pct,0.004487125
shanghai_ret,0.00447712
dow_cos,0.0044626347
rsi_slope,0.0044437815
ndx_ret,0.0044415
gold_ret,0.0044362475
it_rsi,0.004406541
it_wr,0.0043852786
close_position,0.0043605254
eem_rsi,0.0043528546
tcs_ret,0.004308996
usdinr_z,0.0042928294
pharma_ret,0.004290069
hdfc_ret,0.0042805606
hsi_ret,0.004260126
vix_pct,0.0042383666
vix_change,0.0042056767
auto_ret,0.0041343947
icici_rsi,0.0041323667
dow_sin,0.00410225
pharma_wr,0.0040847426
rel_ret,0.0040578153
momentum_div,0.0039781104
bn_vs_nifty,0.0038317034
macd_hist,0.0038035272
rsi,0.0036897734
month_cos,0.0032445171
bb_squeeze,0.0023837215
ret_20d,0.0
obv_slope,0.0
ret_10d,0.0
ret_5d,0.0
