feature,importance
dist_from_high_20,0.017218143
lower_wick,0.016224772
vix_lag1,0.01594564
vix_lag5,0.01469848
us_vix_macd,0.014468962
vix_lag2,0.013714892
bb_squeeze,0.012001246
us_vix_adx,0.010579151
or_range,0.009775905
us_vix_rsi,0.009686282
crude_macd,0.009104364
crude_adx,0.008783758
ndx_ret,0.008632959
ndx_macd,0.008238885
it_macd,0.008164892
vwap_dev,0.008095645
vix_lag3,0.0080325175
itc_wr,0.0078992685
fmcg_rsi,0.007713673
fmcg_adx,0.007710953
inda_ret,0.007610529
metal_adx,0.007587633
auto_rsi,0.007561189
hdfc_rsi,0.0073650763
spread,0.0073476923
dist_from_low_20,0.007317169
tcs_wr,0.007027751
ndx_rsi,0.0069580795
body_pct,0.0069524543
us_vix_ret,0.0067795767
eem_wr,0.0065761283
ret_10d,0.00647341
hdfc_ret,0.006461954
us_vix_wr,0.006408742
pe_ratio,0.0063312636
sp_ret,0.0062943804
itc_rsi,0.006269786
rel_ret,0.0061842804
metal_ret,0.0061490247
rsi_lag1,0.006142582
rel_macd,0.006087693
infra_ret,0.006048022
copper_ret,0.0060428376
infra_wr,0.006010008
bn_nifty_ratio,0.006003022
rsi_slope,0.0059929867
infra_rsi,0.0059869844
roc_5,0.005920567
gold_adx,0.005872874
macd_hist_lag1,0.0058202166
nikkei_rsi,0.005809865
eem_macd,0.0058067036
vix_usvix_ratio,0.0057855467
ha_trend,0.005762499
gap_pct,0.005727129
month_sin,0.005698189
nikkei_macd,0.0056932345
rel_adx,0.0056851865
ret_3d,0.00563364
tcs_rsi,0.005578036
hdfc_macd,0.0055635683
itc_macd,0.005515567
dxy_ret,0.0055043
vix_pct,0.0055001797
hsi_rsi,0.0054781996
icici_macd,0.0054521547
us10y_rsi,0.0054399674
vix_change,0.005425102
icici_wr,0.0054219957
copper_macd,0.0054174326
natgas_macd,0.0054032556
williams_r,0.0053971964
usdinr_z,0.005385701
gold_crude_ratio,0.005360748
eem_ret,0.0053505003
roc_20,0.005306542
cmf_proxy,0.0052893185
dow_sin,0.0052793957
month_cos,0.0052591464
hdfc_wr,0.0052586333
auto_adx,0.0052542165
energy_ret,0.005184989
gold_wr,0.0051809507
pharma_ret,0.0051717046
ema_dist_50,0.005158606
sell_pct,0.0050870297
upper_wick,0.0050866236
nikkei_ret,0.0050754603
inda_rsi,0.0050111823
tcs_ret,0.0050032586
shanghai_rsi,0.0049931714
gold_macd,0.004986233
inda_adx,0.0049684504
dxy_macd,0.0049059205
it_ret,0.0048736604
inda_macd,0.004862536
vix_accel,0.0048366818
itc_adx,0.0047997925
inda_wr,0.0047956784
vix_ma_ratio,0.004748008
eem_rsi,0.004733588
atr_expansion,0.0047332407
ret_20d,0.0047307336
copper_rsi,0.0047012963
infra_macd,0.0046915333
it_rsi,0.0046750945
icici_ret,0.004646774
metal_macd,0.004625087
eem_adx,0.004612457
energy_rsi,0.0045953277
us10y_macd,0.0045829182
silver_ret,0.004576912
rsi_lag3,0.004574959
pharma_macd,0.004569944
tcs_adx,0.0045673233
bb_width,0.0045665517
kc_width,0.004560957
close_position,0.004530408
intraday_trend,0.004465302
ema_dist_10,0.0044479957
natgas_rsi,0.0044462513
auto_wr,0.004436199
range_pctile,0.004403812
dxy_rsi,0.004402787
rsi_lag5,0.0043412126
auto_ret,0.0043410896
hdfc_adx,0.0042983615
it_adx,0.004297754
rsi_lag2,0.004281527
z20,0.004251104
natgas_ret,0.004199135
silver_macd,0.0041954843
consec_up,0.0041949744
bn_rsi,0.0041710483
gold_rsi,0.0041638818
macd_hist_lag3,0.004146591
fmcg_ret,0.0041401293
it_wr,0.0041255243
gap_filled,0.004100662
auto_macd,0.004099593
hsi_macd,0.004098429
energy_macd,0.0040942463
atr_ratio,0.0040934114
ret_5d,0.0040762015
energy_adx,0.0040638773
icici_adx,0.004028574
metal_rsi,0.00398814
icici_rsi,0.0039764093
pharma_adx,0.0039372034
bn_macd,0.0039297524
bn_vs_nifty,0.003893722
tcs_macd,0.0038386937
shanghai_macd,0.0038077857
macd_hist_lag2,0.0038073391
shanghai_ret,0.0038063587
crude_rsi,0.003800686
hsi_ret,0.0037651693
rel_rsi,0.0036729595
buy_pct,0.0036606698
silver_rsi,0.0036562148
crude_wr,0.0036349054
roc_10,0.0036300132
us10y_ret,0.0036265245
energy_wr,0.0035347268
crude_ret,0.003523206
pharma_wr,0.0035113837
fmcg_wr,0.0034955314
itc_ret,0.0034874652
infra_adx,0.0034363368
metal_wr,0.00339019
gold_ret,0.0032953483
trend,0.0032635867
macd_hist,0.0032105949
fmcg_macd,0.003174865
rel_wr,0.0030656024
adx,0.0029713367
engulfing,0.002960038
rsi,0.0026661353
momentum_div,0.0026606591
pharma_rsi,0.0024415911
dow_cos,0.0016287958
vix_spike,0.00072241423
obv_slope,0.0
