n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,3,0.01,0.5,0.6901285823973895,0.5616764788337539,UP,0.512382447719574,0.487617552280426
50,9,0.01,0.5,0.6919066446171428,0.5310897277329771,UP,0.5317586064338684,0.4682413935661316
50,7,0.01,0.8,0.6926020357452108,0.5374566423149019,UP,0.5412930846214294,0.45870691537857056
50,7,0.01,0.5,0.6927542986462464,0.5373274625241181,UP,0.5445798635482788,0.4554201364517212
50,5,0.01,0.5,0.6933257363788989,0.5484973916676287,UP,0.5348894000053406,0.4651105999946594
50,3,0.01,0.8,0.6938431005843472,0.5677053271546915,UP,0.5296885371208191,0.4703114628791809
50,5,0.01,0.8,0.6946217289952569,0.5467589615044223,UP,0.5106949806213379,0.4893050193786621
50,9,0.01,0.8,0.6953069904300242,0.5350255885926,UP,0.5218279361724854,0.47817206382751465
100,3,0.01,0.5,0.6955285161165446,0.5743622091393328,UP,0.5368180274963379,0.4631819725036621
50,3,0.03,0.5,0.6988792288348652,0.5885829801502883,UP,0.5879814028739929,0.4120185971260071
100,3,0.01,0.8,0.698906405189335,0.5673164135292469,UP,0.5390526652336121,0.46094733476638794
100,3,0.01,1.0,0.6992313613386747,0.5449683097236652,UP,0.5254632234573364,0.4745367765426636
50,3,0.01,1.0,0.6997592982703543,0.5343219710087568,UP,0.5047386884689331,0.4952613115310669
50,9,0.01,1.0,0.7006002845508253,0.5294955941445824,UP,0.5186895728111267,0.4813104271888733
50,7,0.01,1.0,0.7006062797851924,0.5174461430212679,DOWN,0.48924484848976135,0.510755181312561
100,7,0.01,0.5,0.7031621228207136,0.5370429921337753,UP,0.5489488244056702,0.45105117559432983
50,5,0.01,1.0,0.7033344887877185,0.5219138398280535,UP,0.5285375118255615,0.4714624881744385
100,7,0.01,0.8,0.7041305846137168,0.5306870715765982,UP,0.5697563886642456,0.4302436113357544
100,9,0.01,0.5,0.7042344252842992,0.534084225223591,UP,0.5373666882514954,0.46263331174850464
100,5,0.01,0.5,0.7047583008943086,0.5383526553318272,UP,0.5714332461357117,0.42856675386428833
150,3,0.01,0.5,0.704844729089352,0.5710268968815448,UP,0.5668470859527588,0.4331529140472412
100,5,0.01,0.8,0.7077227422217534,0.5469170006101683,UP,0.5371166467666626,0.4628833532333374
100,9,0.01,0.8,0.7094120191933987,0.530689820082785,UP,0.5433849096298218,0.4566150903701782
