n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,5,0.05,0.8,1.0,0.0,1.0,0.6711837601233097,0.5909217513750664,UP,0.6644587516784668,0.3355412483215332
100,5,0.05,0.8,1.0,0.0,1.0,0.6711837601233097,0.5909217513750664,UP,0.6644587516784668,0.3355412483215332
300,5,0.05,0.8,1.0,0.0,1.0,0.6711837601233097,0.5909217513750664,UP,0.6644587516784668,0.3355412483215332
100,5,0.05,0.8,1.0,0.5,1.0,0.6726895031019334,0.5984912888620545,UP,0.5491313934326172,0.4508686065673828
300,5,0.05,0.8,1.0,0.5,1.0,0.6726895031019334,0.5984912888620545,UP,0.5491313934326172,0.4508686065673828
200,5,0.05,0.8,1.0,0.5,1.0,0.6726895031019334,0.5984912888620545,UP,0.5491313934326172,0.4508686065673828
300,5,0.03,0.6,0.7,0.0,1.0,0.6732903958672767,0.5908488248116741,UP,0.6806246638298035,0.31937533617019653
200,5,0.03,0.6,0.7,0.0,1.0,0.6732903958672767,0.5908488248116741,UP,0.6806246638298035,0.31937533617019653
100,5,0.03,0.6,0.7,0.0,1.0,0.6732903958672767,0.5908488248116741,UP,0.6806246638298035,0.31937533617019653
300,7,0.05,0.8,1.0,0.0,3.0,0.6735130091734877,0.5996982140206797,UP,0.7387074828147888,0.2612925171852112
200,7,0.05,0.8,1.0,0.0,3.0,0.6735130091734877,0.5996982140206797,UP,0.7387074828147888,0.2612925171852112
100,7,0.05,0.8,1.0,0.0,3.0,0.6735130091734877,0.5996982140206797,UP,0.7387074828147888,0.2612925171852112
100,7,0.05,0.8,1.0,0.5,3.0,0.6736768841955079,0.6009660382235317,UP,0.7061719298362732,0.2938280701637268
200,7,0.05,0.8,1.0,0.5,3.0,0.6736768841955079,0.6009660382235317,UP,0.7061719298362732,0.2938280701637268
300,7,0.05,0.8,1.0,0.5,3.0,0.6736768841955079,0.6009660382235317,UP,0.7061719298362732,0.2938280701637268
100,7,0.03,0.8,1.0,0.5,3.0,0.6739042134418289,0.6037519801865238,UP,0.6288233399391174,0.37117666006088257
200,7,0.03,0.8,1.0,0.5,3.0,0.6739042134418289,0.6037519801865238,UP,0.6288233399391174,0.37117666006088257
300,7,0.03,0.8,1.0,0.5,3.0,0.6739042134418289,0.6037519801865238,UP,0.6288233399391174,0.37117666006088257
300,7,0.05,0.8,1.0,0.0,1.0,0.6741513718804291,0.5892066961351403,UP,0.7233331203460693,0.27666687965393066
200,7,0.05,0.8,1.0,0.0,1.0,0.6741513718804291,0.5892066961351403,UP,0.7233331203460693,0.27666687965393066
100,7,0.05,0.8,1.0,0.0,1.0,0.6741513718804291,0.5892066961351403,UP,0.7233331203460693,0.27666687965393066
200,7,0.03,0.6,0.7,0.0,3.0,0.6743590647688622,0.5787989544009362,UP,0.6088060140609741,0.3911939859390259
300,7,0.03,0.6,0.7,0.0,3.0,0.6743590647688622,0.5787989544009362,UP,0.6088060140609741,0.3911939859390259
100,7,0.03,0.6,0.7,0.0,3.0,0.6743590647688622,0.5787989544009362,UP,0.6088060140609741,0.3911939859390259
200,7,0.03,0.6,0.7,0.5,3.0,0.6745976555291906,0.5826898463338237,UP,0.7305474877357483,0.2694525122642517
300,7,0.03,0.6,0.7,0.5,3.0,0.6745976555291906,0.5826898463338237,UP,0.7305474877357483,0.2694525122642517
100,7,0.03,0.6,0.7,0.5,3.0,0.6745976555291906,0.5826898463338237,UP,0.7305474877357483,0.2694525122642517
300,7,0.03,0.8,1.0,0.0,3.0,0.6746507713824437,0.6001084790518394,UP,0.636565625667572,0.363434374332428
100,7,0.03,0.8,1.0,0.0,3.0,0.6746507713824437,0.6001084790518394,UP,0.636565625667572,0.363434374332428
200,7,0.03,0.8,1.0,0.0,3.0,0.6746507713824437,0.6001084790518394,UP,0.636565625667572,0.363434374332428
200,5,0.03,0.8,1.0,0.0,3.0,0.6747644484271671,0.5962980566490683,UP,0.6032130122184753,0.39678698778152466
300,5,0.03,0.8,1.0,0.0,3.0,0.6747644484271671,0.5962980566490683,UP,0.6032130122184753,0.39678698778152466
100,5,0.03,0.8,1.0,0.0,3.0,0.6747644484271671,0.5962980566490683,UP,0.6032130122184753,0.39678698778152466
100,5,0.03,0.6,0.7,0.0,3.0,0.6748996525097891,0.5724406162801539,UP,0.644292950630188,0.355707049369812
200,5,0.03,0.6,0.7,0.0,3.0,0.6748996525097891,0.5724406162801539,UP,0.644292950630188,0.355707049369812
300,5,0.03,0.6,0.7,0.0,3.0,0.6748996525097891,0.5724406162801539,UP,0.644292950630188,0.355707049369812
100,5,0.05,0.8,1.0,0.5,3.0,0.6754031264973989,0.5826639655020965,UP,0.6075977683067322,0.3924022316932678
200,5,0.05,0.8,1.0,0.5,3.0,0.6754031264973989,0.5826639655020965,UP,0.6075977683067322,0.3924022316932678
300,5,0.05,0.8,1.0,0.5,3.0,0.6754031264973989,0.5826639655020965,UP,0.6075977683067322,0.3924022316932678
300,5,0.03,0.8,0.7,0.5,1.0,0.6756227819386698,0.5925967232982343,UP,0.6646436452865601,0.33535635471343994
200,5,0.03,0.8,0.7,0.5,1.0,0.6756227819386698,0.5925967232982343,UP,0.6646436452865601,0.33535635471343994
100,5,0.03,0.8,0.7,0.5,1.0,0.6756227819386698,0.5925967232982343,UP,0.6646436452865601,0.33535635471343994
100,7,0.05,0.8,0.7,0.5,1.0,0.6757760935860668,0.5942211156960682,UP,0.6397724151611328,0.3602275848388672
200,7,0.05,0.8,0.7,0.5,1.0,0.6757760935860668,0.5942211156960682,UP,0.6397724151611328,0.3602275848388672
300,7,0.05,0.8,0.7,0.5,1.0,0.6757760935860668,0.5942211156960682,UP,0.6397724151611328,0.3602275848388672
300,7,0.05,0.8,1.0,0.5,1.0,0.6757769261304172,0.5904816720632744,UP,0.5701475143432617,0.4298524856567383
100,7,0.05,0.8,1.0,0.5,1.0,0.6757769261304172,0.5904816720632744,UP,0.5701475143432617,0.4298524856567383
200,7,0.05,0.8,1.0,0.5,1.0,0.6757769261304172,0.5904816720632744,UP,0.5701475143432617,0.4298524856567383
200,7,0.03,1.0,0.7,0.0,1.0,0.676018057897307,0.5768405680186288,UP,0.5723796486854553,0.4276203513145447
