feature,importance
pcr_z,0.10823739
vix_ma_ratio,0.021304855
shanghai_rsi,0.012446563
icici_macd,0.010577816
us10y_macd,0.010005977
us_vix_macd,0.009476643
metal_rsi,0.00902003
bn_vs_nifty,0.008883061
gold_adx,0.008281343
us_vix_adx,0.008199505
vix_usvix_ratio,0.008026194
metal_macd,0.007947286
icici_adx,0.007860631
tcs_wr,0.007748524
nikkei_macd,0.007717515
copper_rsi,0.007423412
us_vix_rsi,0.0072273742
close_position,0.00715122
bn_macd,0.007117935
vix_pct,0.0070970217
silver_rsi,0.0068871058
shanghai_macd,0.0068861367
energy_macd,0.006874137
hdfc_adx,0.0068121618
vix_change,0.0067799883
rsi_lag3,0.0067663062
metal_adx,0.0067362515
nikkei_rsi,0.006666971
itc_wr,0.0066654235
rel_adx,0.006637501
eem_macd,0.0065866723
gold_rsi,0.006543995
fmcg_adx,0.0064053996
inda_adx,0.0063953036
month_cos,0.006383894
it_macd,0.0062546316
inda_rsi,0.006181123
hdfc_rsi,0.0061036455
pharma_adx,0.006058118
kc_width,0.0060525006
tcs_rsi,0.0060345572
rel_macd,0.0060056513
dxy_rsi,0.0059937383
it_rsi,0.00598892
vix_lag3,0.005958431
icici_wr,0.0058949697
hdfc_macd,0.0058787838
fmcg_wr,0.0058598435
gold_macd,0.0058352277
infra_wr,0.005695003
macd_hist_lag1,0.0056932736
bn_rsi,0.0056921947
infra_macd,0.005621867
pharma_rsi,0.005597987
copper_ret,0.0055748248
pharma_wr,0.005564252
us10y_rsi,0.0055472385
it_wr,0.0055334684
energy_ret,0.0054887864
bn_nifty_ratio,0.0054346705
auto_adx,0.0054274676
vwap_dev,0.0053988374
hsi_macd,0.005354051
itc_macd,0.005338813
body_pct,0.0053205867
rsi_slope,0.005316073
consec_up,0.005302953
rel_wr,0.0052622636
vix_accel,0.00524158
itc_rsi,0.0052319076
eem_wr,0.005214337
gold_wr,0.005213918
it_adx,0.005150168
upper_wick,0.0051479232
or_range,0.0051330663
atr_ratio,0.0050908467
itc_adx,0.0050389813
tcs_adx,0.0050062696
lower_wick,0.0049965754
infra_ret,0.004974154
bb_width,0.004969263
macd_hist_lag2,0.004960531
silver_macd,0.0049434095
macd_hist,0.0049334792
spread,0.004933188
crude_ret,0.0049097044
hdfc_ret,0.004804619
gold_crude_ratio,0.004778237
vix_lag1,0.0047602546
gold_ret,0.0047114356
metal_wr,0.004683019
adx,0.0046614795
atr_expansion,0.00464798
sp_ret,0.0046441187
inda_wr,0.0045507625
macd_hist_lag3,0.004513977
rel_rsi,0.0044972054
rsi,0.00446077
pharma_macd,0.004391477
ret_3d,0.0043288604
dist_from_low_20,0.004312804
icici_ret,0.004311208
vix_lag5,0.004285557
rsi_lag5,0.0042817965
rsi_lag1,0.0042659715
us10y_ret,0.004232134
ndx_macd,0.0042028422
crude_adx,0.0041947896
roc_5,0.004186617
infra_rsi,0.004167688
inda_ret,0.004160625
us_vix_wr,0.0041555814
inda_macd,0.004149447
us_vix_ret,0.004136232
fmcg_ret,0.0041288184
intraday_trend,0.0041230964
natgas_macd,0.004107104
gap_pct,0.0041062227
momentum_div,0.0041030906
infra_adx,0.0040840968
crude_macd,0.0040614023
dxy_macd,0.0040491833
sell_pct,0.004029821
month_sin,0.0039991955
icici_rsi,0.00399239
ndx_rsi,0.0039208448
fmcg_rsi,0.0039132256
vix_lag2,0.003911737
pe_ratio,0.0038825122
rel_ret,0.0038656984
auto_macd,0.0038157746
dow_sin,0.0038004545
shanghai_ret,0.0037917846
fmcg_macd,0.003786959
auto_wr,0.003750484
cmf_proxy,0.0037365456
crude_rsi,0.0037212148
range_pctile,0.003692849
energy_rsi,0.003645437
ema_dist_50,0.0036245321
crude_wr,0.0036242618
hdfc_wr,0.00360526
silver_ret,0.0035746119
roc_10,0.0035526457
williams_r,0.0035482931
z20,0.0035460887
ema_dist_10,0.0035233975
eem_ret,0.0034807478
dist_from_high_20,0.0034570287
nikkei_ret,0.0034551749
metal_ret,0.0034313402
buy_pct,0.003322994
ret_10d,0.0032729567
itc_ret,0.0032681893
energy_adx,0.003236566
eem_adx,0.0032258711
auto_ret,0.0031596802
ret_5d,0.0031257863
usdinr_z,0.0031084327
dxy_ret,0.0030901069
ndx_ret,0.003086748
it_ret,0.0028637913
eem_rsi,0.0028270283
hsi_ret,0.002802471
roc_20,0.0027754342
natgas_rsi,0.0027127774
copper_macd,0.00257851
natgas_ret,0.0025616274
dow_cos,0.0025576646
pharma_ret,0.0025129982
auto_rsi,0.0025000656
rsi_lag2,0.0024420258
tcs_macd,0.0024204073
tcs_ret,0.0023660243
trend,0.0022988394
ha_trend,0.0021604854
hsi_rsi,0.0018833512
energy_wr,0.0017814515
ret_20d,0.0010052618
gap_filled,0.0
vix_spike,0.0
obv_slope,0.0
engulfing,0.0
bb_squeeze,0.0
