feature,importance
vix_lag1,0.04093038
kc_width,0.037190966
vix_lag2,0.024604412
pe_ratio,0.022906484
us_vix_adx,0.018551027
shanghai_rsi,0.01769509
metal_macd,0.016854594
eem_adx,0.016731817
dist_from_low_20,0.015272289
dist_from_high_20,0.013382261
energy_adx,0.013014795
eem_rsi,0.01297643
ema_dist_50,0.012945351
rel_wr,0.012763005
vix_ma_ratio,0.012709305
vix_usvix_ratio,0.012596122
rsi_lag2,0.0125853745
metal_ret,0.012355224
inda_wr,0.012021931
bn_nifty_ratio,0.011974363
pharma_rsi,0.011753742
fmcg_rsi,0.011676565
macd_hist_lag3,0.011530196
month_sin,0.011025254
macd_hist,0.010861512
pharma_adx,0.0107818255
fmcg_adx,0.0106099
rel_macd,0.010522109
crude_macd,0.01051389
gold_rsi,0.010302141
consec_up,0.010182056
it_rsi,0.010002948
vix_pct,0.009922148
fmcg_macd,0.009827911
macd_hist_lag2,0.009694672
gold_macd,0.009537358
vix_lag3,0.0093151005
rsi_slope,0.009242696
roc_5,0.008973141
rsi_lag1,0.008616064
hdfc_macd,0.008612883
icici_macd,0.008468782
it_macd,0.008435793
metal_rsi,0.008302227
metal_adx,0.008166431
crude_rsi,0.008158059
infra_macd,0.0079752905
hdfc_adx,0.007852108
rsi,0.007813144
infra_adx,0.0076564928
dxy_macd,0.007580982
rsi_lag3,0.0074351025
roc_20,0.007373828
hsi_rsi,0.0073169605
auto_macd,0.0072748587
tcs_macd,0.007143043
eem_macd,0.0070179068
fmcg_wr,0.006972163
natgas_macd,0.006820759
gold_adx,0.006732433
spread,0.006715407
macd_hist_lag1,0.00655726
infra_rsi,0.006552658
tcs_wr,0.0064802356
inda_adx,0.0064680646
us10y_macd,0.006430801
pharma_macd,0.0063990173
rel_adx,0.006172704
ret_3d,0.00616688
us_vix_wr,0.006125122
gold_crude_ratio,0.0060472144
itc_wr,0.0060321367
hdfc_ret,0.0059900368
intraday_trend,0.005945846
it_adx,0.0059225457
z20,0.005771711
bn_rsi,0.0057507036
tcs_adx,0.005721313
it_wr,0.005712473
icici_adx,0.0055636205
energy_macd,0.005561362
icici_rsi,0.0053839497
fmcg_ret,0.0051393714
itc_adx,0.005042378
eem_wr,0.0049900506
itc_macd,0.0048812144
rel_rsi,0.0047805686
metal_wr,0.0047279233
crude_adx,0.004707651
ndx_rsi,0.004628604
tcs_ret,0.0044558034
hsi_macd,0.004340661
us10y_ret,0.0042864555
itc_rsi,0.0042735892
adx,0.0042073843
sp_ret,0.0041136635
auto_rsi,0.00399852
month_cos,0.0039959066
it_ret,0.0039926046
itc_ret,0.003927512
eem_ret,0.003839921
copper_macd,0.0034437096
lower_wick,0.0034196645
us10y_rsi,0.003380935
pharma_wr,0.0031795641
silver_ret,0.003129079
ema_dist_10,0.0030598312
icici_wr,0.0030308594
crude_ret,0.0029785894
atr_expansion,0.0028544972
infra_ret,0.0025953336
dxy_rsi,0.0025924523
hsi_ret,0.0025742487
body_pct,0.00241006
upper_wick,0.00233159
bn_macd,0.0022567883
tcs_rsi,0.002215576
us_vix_rsi,0.0022117621
crude_wr,0.0021604057
nikkei_macd,0.002053583
gold_wr,0.0018975759
ndx_macd,0.0018042867
energy_rsi,0.0016744074
natgas_ret,0.0015867519
or_range,0.0015452724
inda_rsi,0.0014618491
shanghai_macd,0.0013323701
rsi_lag5,0.0012477149
williams_r,0.001184943
gold_ret,0.0011676007
dxy_ret,0.0010507957
icici_ret,0.0008175689
silver_rsi,0.00080196495
us_vix_macd,0.0007442889
range_pctile,0.00062852754
ndx_ret,0.0005110962
buy_pct,0.00047649382
inda_ret,0.0004628726
bn_vs_nifty,0.00045023704
auto_wr,0.00042006688
infra_wr,0.00039547266
atr_ratio,0.00037721902
cmf_proxy,0.00021956896
usdinr_z,0.0
trend,0.0
bb_width,0.0
vix_lag5,0.0
vix_accel,0.0
bb_squeeze,0.0
vix_change,0.0
vix_spike,0.0
ret_20d,0.0
momentum_div,0.0
ha_trend,0.0
close_position,0.0
obv_slope,0.0
gap_pct,0.0
gap_filled,0.0
engulfing,0.0
roc_10,0.0
dow_sin,0.0
dow_cos,0.0
us_vix_ret,0.0
inda_macd,0.0
hdfc_wr,0.0
rel_ret,0.0
hdfc_rsi,0.0
energy_wr,0.0
energy_ret,0.0
pharma_ret,0.0
auto_adx,0.0
auto_ret,0.0
copper_rsi,0.0
copper_ret,0.0
nikkei_ret,0.0
natgas_rsi,0.0
silver_macd,0.0
nikkei_rsi,0.0
shanghai_ret,0.0
ret_10d,0.0
ret_5d,0.0
sell_pct,0.0
vwap_dev,0.0
