feature,importance
vix_pct,0.011443089
nikkei_macd,0.010213242
bb_width,0.009965006
inda_rsi,0.009417784
eem_adx,0.009264595
vix_ma_ratio,0.009185447
consec_up,0.009135275
vix_lag1,0.009116625
bn_macd,0.009062379
it_wr,0.008778627
macd_hist_lag2,0.008363758
infra_macd,0.008299925
metal_adx,0.008291827
hdfc_macd,0.008206993
tcs_rsi,0.008148878
crude_macd,0.008125358
ndx_rsi,0.008063763
icici_wr,0.0080574695
infra_ret,0.007923941
ret_5d,0.007810918
energy_adx,0.007776977
crude_adx,0.007753859
shanghai_rsi,0.007735762
metal_macd,0.0077335616
pharma_macd,0.0075865365
rel_macd,0.0075121135
vix_usvix_ratio,0.007454083
auto_macd,0.0074400534
gold_macd,0.007429238
dxy_macd,0.007421319
bn_nifty_ratio,0.0074104657
auto_ret,0.0073618325
icici_macd,0.0073372177
it_macd,0.007314553
hdfc_adx,0.0073062987
tcs_macd,0.0073027415
it_adx,0.007300168
tcs_adx,0.007293189
kc_width,0.0072771623
month_cos,0.0072371624
itc_macd,0.0072172256
energy_wr,0.007199442
eem_rsi,0.007182185
usdinr_z,0.0071786656
fmcg_macd,0.0071201706
energy_macd,0.0070924493
atr_ratio,0.007087623
itc_ret,0.007074992
us_vix_rsi,0.007056501
bn_rsi,0.007019611
metal_rsi,0.0069564856
us_vix_wr,0.006940988
month_sin,0.006888807
infra_adx,0.006879044
roc_5,0.006808635
body_pct,0.006798017
us_vix_macd,0.006767475
z20,0.0067666876
silver_rsi,0.0067133703
metal_ret,0.0066573415
ret_3d,0.0065927487
gold_adx,0.0065167286
hsi_rsi,0.0065150782
rsi_lag5,0.0065149306
rsi_lag2,0.0065063406
ndx_macd,0.006457601
spread,0.0063709337
pharma_adx,0.006338817
nikkei_rsi,0.0063083135
ema_dist_50,0.0062734843
rel_rsi,0.0062603205
icici_adx,0.006253068
dist_from_low_20,0.006240129
macd_hist_lag3,0.006191367
copper_macd,0.0061537335
auto_adx,0.0061446894
crude_rsi,0.006129196
macd_hist_lag1,0.006118497
auto_wr,0.006107205
gold_wr,0.0060942993
vix_change,0.006093517
pharma_rsi,0.005998262
adx,0.005996642
silver_macd,0.0059866225
it_ret,0.0059223548
natgas_macd,0.0058987867
dist_from_high_20,0.00584363
natgas_rsi,0.005829867
ema_dist_10,0.0058247545
eem_macd,0.005812061
itc_rsi,0.0056945914
eem_wr,0.005670341
rsi_slope,0.0056605367
gold_crude_ratio,0.0056539075
itc_adx,0.0056120413
vix_lag3,0.0055902754
infra_wr,0.0055838567
rel_wr,0.0055833585
hdfc_wr,0.005581464
dxy_ret,0.005572828
inda_macd,0.005529107
dxy_rsi,0.0055011376
energy_rsi,0.0054784995
range_pctile,0.0054277717
icici_rsi,0.005395019
copper_rsi,0.0053811288
rsi_lag3,0.0053766826
infra_rsi,0.0053741825
metal_wr,0.005373911
it_rsi,0.0053099664
us10y_rsi,0.0053003705
us10y_macd,0.005294674
williams_r,0.005256268
tcs_ret,0.005136505
rsi_lag1,0.0050430745
us_vix_adx,0.0050384263
ndx_ret,0.0050023627
pe_ratio,0.00500112
atr_expansion,0.005000226
fmcg_rsi,0.004984576
ret_10d,0.0049345647
macd_hist,0.0049153566
inda_adx,0.004854008
tcs_wr,0.0048470604
crude_ret,0.0048398254
hsi_macd,0.0047683134
bb_squeeze,0.004755861
vix_accel,0.004745253
cmf_proxy,0.0047337897
shanghai_macd,0.0046047713
vix_lag2,0.004604297
itc_wr,0.0043155747
gold_rsi,0.004264947
fmcg_wr,0.00425691
lower_wick,0.004249022
pharma_wr,0.004236259
inda_wr,0.0042026555
icici_ret,0.0041841157
roc_20,0.004116659
auto_rsi,0.0040515633
vix_lag5,0.004042277
ha_trend,0.003997913
pharma_ret,0.003967843
upper_wick,0.0039625396
bn_vs_nifty,0.0038047826
vwap_dev,0.0034451375
shanghai_ret,0.0033586703
us10y_ret,0.0033295879
fmcg_adx,0.0033214677
inda_ret,0.0032978596
rel_adx,0.0032884784
rsi,0.0032503433
close_position,0.0032415774
nikkei_ret,0.0032391343
sell_pct,0.00322943
hsi_ret,0.0032047236
hdfc_ret,0.0031666218
silver_ret,0.00303928
natgas_ret,0.0030332184
or_range,0.0029867673
hdfc_rsi,0.0029420592
fmcg_ret,0.0027751965
dow_sin,0.0027113003
gold_ret,0.0026797347
copper_ret,0.0025765668
energy_ret,0.002573376
gap_pct,0.0024614132
sp_ret,0.0023558645
rel_ret,0.0019207604
buy_pct,0.001628004
roc_10,0.0015685073
intraday_trend,0.0015175497
dow_cos,0.0009593123
us_vix_ret,0.0006747863
trend,0.0
ret_20d,0.0
momentum_div,0.0
gap_filled,0.0
engulfing,0.0
obv_slope,0.0
vix_spike,0.0
crude_wr,0.0
eem_ret,0.0
