feature,importance
crude_rsi,0.010988318
roc_5,0.010163234
vix_ma_ratio,0.010059144
icici_macd,0.009254935
ret_5d,0.008843172
sell_pct,0.0087176645
fmcg_wr,0.008500339
nikkei_macd,0.008199594
hsi_ret,0.008142681
kc_width,0.008058523
atr_ratio,0.008018585
dist_from_low_20,0.007897051
us_vix_macd,0.007875191
vix_lag1,0.0078669125
dxy_macd,0.007854961
us_vix_rsi,0.0076653957
bb_width,0.0074941497
infra_ret,0.0074012764
energy_macd,0.007344622
macd_hist_lag2,0.007243595
ret_3d,0.0071498235
gold_rsi,0.007119962
macd_hist_lag3,0.0070706042
hdfc_rsi,0.0069180247
ndx_rsi,0.006895603
natgas_macd,0.0068941754
dxy_rsi,0.006765996
itc_macd,0.006731308
vix_usvix_ratio,0.0066274456
natgas_rsi,0.006571801
rsi_lag5,0.0065041343
rel_wr,0.006491801
fmcg_macd,0.006448292
infra_adx,0.0064388835
icici_adx,0.006437849
fmcg_rsi,0.0064235153
auto_rsi,0.0063889655
auto_adx,0.006380032
vix_lag2,0.006352655
hsi_macd,0.006330425
ndx_ret,0.006330108
body_pct,0.0063192477
ema_dist_50,0.0062780995
rsi_lag1,0.006221227
shanghai_macd,0.0062053646
vix_change,0.006204154
pharma_adx,0.006183632
month_sin,0.006135063
bn_rsi,0.0060894797
copper_ret,0.0060794633
auto_macd,0.0060642697
us_vix_adx,0.0060403016
us_vix_ret,0.0060263015
infra_macd,0.0059998767
bn_macd,0.0059723263
hdfc_ret,0.0059385556
tcs_ret,0.005901281
crude_adx,0.0058732866
energy_ret,0.0058720894
it_adx,0.005866634
intraday_trend,0.0058455304
icici_ret,0.0058390135
inda_adx,0.005835558
pharma_wr,0.0058154957
pharma_rsi,0.005799309
tcs_macd,0.0057893856
eem_adx,0.0057710055
gold_crude_ratio,0.005767972
copper_macd,0.00574987
buy_pct,0.0056987135
pe_ratio,0.0056934794
silver_ret,0.005656259
vix_lag3,0.005578085
itc_adx,0.005571529
pharma_macd,0.0055634533
metal_macd,0.0055602835
metal_wr,0.0055134227
bn_nifty_ratio,0.0054901275
tcs_rsi,0.005484483
auto_ret,0.0054683653
energy_rsi,0.005446115
us10y_ret,0.0053678183
nikkei_ret,0.0053674523
ndx_macd,0.0053562825
gap_filled,0.0053354944
infra_rsi,0.005331826
vwap_dev,0.0053159096
dow_cos,0.0052997028
inda_wr,0.0052961195
close_position,0.0052883974
natgas_ret,0.0052858857
bn_vs_nifty,0.0052797296
ema_dist_10,0.005266203
vix_accel,0.0052654715
hdfc_adx,0.0052508633
energy_adx,0.005249665
sp_ret,0.0052329437
macd_hist,0.0052202465
rsi_slope,0.005171083
us_vix_wr,0.0051670703
crude_macd,0.005163683
rel_rsi,0.0051569734
bb_squeeze,0.0051257075
metal_rsi,0.0051219384
metal_ret,0.005107767
tcs_adx,0.005053913
hdfc_macd,0.0050445646
or_range,0.005040448
tcs_wr,0.005040322
macd_hist_lag1,0.005033642
it_ret,0.0050246282
dow_sin,0.005000929
roc_10,0.004991395
dist_from_high_20,0.0049796696
lower_wick,0.00497271
rsi_lag2,0.004923576
rel_macd,0.004923183
pharma_ret,0.004919007
gold_macd,0.00487051
month_cos,0.0048697316
rsi_lag3,0.004857792
vix_lag5,0.0048553487
cmf_proxy,0.004788163
infra_wr,0.0047848327
vix_pct,0.0047693187
metal_adx,0.004761636
it_wr,0.0047330493
rel_ret,0.004696425
hsi_rsi,0.0046902597
inda_ret,0.0046773795
gap_pct,0.004653965
shanghai_rsi,0.0046419506
adx,0.0046370025
it_macd,0.0046296073
crude_ret,0.004617218
auto_wr,0.0046102973
spread,0.004607933
roc_20,0.004592158
ret_10d,0.0045895535
z20,0.0045877453
silver_macd,0.0045629386
copper_rsi,0.004556765
eem_ret,0.0045462106
usdinr_z,0.0044674906
icici_wr,0.00445827
fmcg_ret,0.004444294
us10y_rsi,0.004419646
crude_wr,0.0043976875
williams_r,0.0043623107
icici_rsi,0.004358227
itc_wr,0.004327296
hdfc_wr,0.0043098796
energy_wr,0.0043058475
eem_rsi,0.004293778
nikkei_rsi,0.004293736
it_rsi,0.004286181
gold_ret,0.004236084
shanghai_ret,0.004211711
silver_rsi,0.0041771093
fmcg_adx,0.0041689905
inda_macd,0.004165653
itc_rsi,0.0040850467
eem_wr,0.004045971
gold_wr,0.004021696
rsi,0.003985376
rel_adx,0.0039469777
inda_rsi,0.0039226147
gold_adx,0.0039166515
eem_macd,0.003911153
atr_expansion,0.0038459464
ha_trend,0.0038117755
upper_wick,0.0037672485
dxy_ret,0.0037612468
us10y_macd,0.003748241
engulfing,0.00357946
consec_up,0.003544849
range_pctile,0.0034899425
ret_20d,0.0033957458
itc_ret,0.0031328266
trend,0.0028711525
momentum_div,0.0023029542
obv_slope,0.0
vix_spike,0.0
