feature,importance
vix_lag2,0.021085167
vix_lag1,0.016244372
bn_macd,0.014592431
pe_ratio,0.014543076
hdfc_macd,0.014268127
ret_20d,0.012594477
inda_macd,0.01096381
inda_adx,0.010771802
rel_macd,0.010727078
cmf_proxy,0.009788735
eem_macd,0.009778043
auto_rsi,0.009645537
infra_wr,0.009364236
icici_ret,0.009192764
itc_adx,0.009180427
roc_20,0.0091088135
month_cos,0.0089917425
energy_rsi,0.008983257
dist_from_high_20,0.00890773
icici_adx,0.00873214
gold_adx,0.00871273
shanghai_rsi,0.008616808
bb_width,0.00856732
bn_rsi,0.008534271
us_vix_adx,0.008514615
vix_ma_ratio,0.008508023
silver_macd,0.0085068075
kc_width,0.008477351
metal_ret,0.008414561
ndx_rsi,0.0083775055
atr_ratio,0.008342865
gold_crude_ratio,0.008329112
copper_macd,0.008250553
ema_dist_50,0.008159871
ndx_ret,0.008145726
dxy_rsi,0.008137555
bn_nifty_ratio,0.008114041
rel_adx,0.00808436
metal_rsi,0.008038283
shanghai_macd,0.007903176
energy_adx,0.007796872
itc_wr,0.007756001
pharma_adx,0.0077498676
it_wr,0.0077187074
inda_ret,0.0076977424
natgas_rsi,0.007662229
adx,0.007548595
metal_macd,0.007449451
it_adx,0.007373965
eem_adx,0.007355184
tcs_adx,0.0072683296
atr_expansion,0.007251988
infra_macd,0.007242433
nikkei_rsi,0.007194812
nikkei_macd,0.00718701
hdfc_adx,0.0070807654
vix_lag3,0.0070680566
natgas_macd,0.00703496
ema_dist_10,0.0070007173
hdfc_rsi,0.0068999766
gold_macd,0.0068942993
vwap_dev,0.006840972
pharma_rsi,0.0067620133
rsi_lag3,0.0067556985
vix_pct,0.0067516644
macd_hist_lag1,0.006748265
intraday_trend,0.0067181075
crude_rsi,0.006641069
icici_macd,0.0066049253
auto_wr,0.0065469895
usdinr_z,0.006532928
infra_adx,0.0064848806
crude_macd,0.006474831
auto_macd,0.006457738
us10y_rsi,0.006398977
fmcg_macd,0.006351744
macd_hist,0.0063485503
vix_lag5,0.0063131773
rsi_lag1,0.006251848
vix_accel,0.006162227
gold_rsi,0.0061515155
z20,0.006094802
vix_usvix_ratio,0.006043181
eem_ret,0.0060403217
hsi_rsi,0.0060377885
fmcg_adx,0.006031668
silver_rsi,0.005939317
roc_10,0.0059219976
copper_rsi,0.005912136
tcs_ret,0.005812254
tcs_macd,0.0057908865
rsi,0.005770952
tcs_rsi,0.005769919
gold_wr,0.005765335
ha_trend,0.005751277
energy_wr,0.005674259
it_rsi,0.0055747926
us_vix_rsi,0.0055602314
ret_3d,0.0055397684
sell_pct,0.0055317315
rsi_lag2,0.0054216944
williams_r,0.0054151258
metal_adx,0.005390562
or_range,0.0053823367
macd_hist_lag3,0.005373498
crude_wr,0.0053210645
macd_hist_lag2,0.005240537
fmcg_wr,0.005222209
energy_macd,0.005172919
lower_wick,0.005172274
pharma_macd,0.005144708
sp_ret,0.0051410194
rsi_slope,0.005117642
itc_rsi,0.0051154452
hsi_ret,0.005110086
gap_pct,0.0051058666
consec_up,0.0050696083
fmcg_ret,0.0050242245
rsi_lag5,0.0050128745
energy_ret,0.0048545403
crude_adx,0.004776647
infra_rsi,0.004753079
infra_ret,0.0047202324
spread,0.004609053
itc_ret,0.004568075
rel_rsi,0.004447258
us10y_macd,0.0044384673
body_pct,0.0043956265
us_vix_wr,0.0042865574
close_position,0.004070293
vix_change,0.004024365
it_macd,0.0039677382
dist_from_low_20,0.003877618
pharma_ret,0.003874728
tcs_wr,0.003844249
itc_macd,0.0037988436
month_sin,0.0037773915
natgas_ret,0.0036277322
ret_10d,0.0036086636
us10y_ret,0.0035426272
ndx_macd,0.0035417099
copper_ret,0.003522209
eem_wr,0.0031173115
roc_5,0.0031118514
shanghai_ret,0.0029347977
range_pctile,0.00264474
hsi_macd,0.0024778228
auto_adx,0.0017189594
dxy_ret,0.00082112564
vix_spike,0.0
bn_vs_nifty,0.0
momentum_div,0.0
obv_slope,0.0
gap_filled,0.0
engulfing,0.0
dow_cos,0.0
dow_sin,0.0
bb_squeeze,0.0
trend,0.0
gold_ret,0.0
crude_ret,0.0
inda_wr,0.0
us_vix_ret,0.0
us_vix_macd,0.0
rel_ret,0.0
hdfc_ret,0.0
rel_wr,0.0
pharma_wr,0.0
metal_wr,0.0
hdfc_wr,0.0
fmcg_rsi,0.0
auto_ret,0.0
it_ret,0.0
inda_rsi,0.0
eem_rsi,0.0
dxy_macd,0.0
icici_wr,0.0
icici_rsi,0.0
nikkei_ret,0.0
silver_ret,0.0
upper_wick,0.0
ret_5d,0.0
buy_pct,0.0
