feature,importance
dist_from_high_20,0.014164807
williams_r,0.013655823
vix_lag2,0.012817269
inda_wr,0.012137918
inda_adx,0.011832299
vix_lag5,0.011823488
icici_adx,0.011595825
month_cos,0.01084638
pharma_adx,0.010558718
bb_width,0.010406303
it_adx,0.010325083
eem_macd,0.01031302
infra_wr,0.010283206
us_vix_macd,0.010125605
roc_20,0.010051985
vix_ma_ratio,0.00975535
itc_wr,0.009667952
vix_lag1,0.009634646
fmcg_ret,0.009633499
shanghai_macd,0.009596519
crude_adx,0.009399465
tcs_adx,0.009368199
metal_rsi,0.009329696
adx,0.00931694
range_pctile,0.009246283
rsi_lag1,0.009211127
vix_pct,0.009139164
gold_macd,0.0090704495
metal_wr,0.00906926
hsi_macd,0.008793557
kc_width,0.008744022
infra_rsi,0.00873985
rsi,0.00867473
itc_adx,0.008637953
vix_lag3,0.008627792
ndx_rsi,0.008466198
ndx_macd,0.008460619
hdfc_rsi,0.008423649
sp_ret,0.008420051
energy_wr,0.008419072
gold_rsi,0.008256213
bn_macd,0.008239736
bn_nifty_ratio,0.008188774
hdfc_adx,0.008117305
dist_from_low_20,0.008063586
z20,0.007958143
spread,0.00793767
us_vix_rsi,0.00793627
rel_wr,0.00774468
natgas_macd,0.0077359793
fmcg_rsi,0.007690512
us10y_macd,0.007615604
pharma_rsi,0.0075818426
gold_wr,0.007567033
atr_ratio,0.0075667594
us_vix_adx,0.007513099
hdfc_ret,0.007512118
rel_macd,0.0074814437
dxy_macd,0.007362558
auto_adx,0.0073581813
vix_usvix_ratio,0.007333954
macd_hist_lag1,0.007255686
tcs_macd,0.0071964376
pharma_wr,0.0071915286
macd_hist,0.007155824
inda_macd,0.00714913
consec_up,0.0071470668
icici_macd,0.007061885
intraday_trend,0.007032223
usdinr_z,0.0070040063
silver_rsi,0.0070004947
inda_rsi,0.006839572
metal_adx,0.0067169494
icici_rsi,0.006696795
gold_crude_ratio,0.0066298014
rsi_lag5,0.0066262526
infra_adx,0.006557799
crude_macd,0.0065522366
metal_macd,0.0065303114
ret_3d,0.00652148
rsi_lag3,0.0065195397
pe_ratio,0.0064870277
auto_rsi,0.006400711
roc_10,0.006223813
rsi_lag2,0.006212099
vix_change,0.0062057325
rel_adx,0.006184175
bn_vs_nifty,0.0060860724
bn_rsi,0.006076191
fmcg_adx,0.006026877
ndx_ret,0.00601341
eem_rsi,0.0058705476
fmcg_wr,0.005849205
energy_macd,0.005794979
eem_adx,0.005703892
copper_macd,0.005661835
lower_wick,0.005660552
nikkei_rsi,0.005606643
dxy_rsi,0.005596064
silver_macd,0.005568401
rel_rsi,0.0055509126
us_vix_ret,0.0055436585
gold_adx,0.0055284323
crude_rsi,0.0053913686
rsi_slope,0.0053637833
itc_macd,0.0052740662
it_macd,0.005272497
ema_dist_50,0.005211655
energy_rsi,0.0052055307
nikkei_macd,0.005180348
itc_rsi,0.0051774336
atr_expansion,0.0051538036
dxy_ret,0.0051260404
buy_pct,0.005087318
us_vix_wr,0.0049309297
macd_hist_lag3,0.004879028
us10y_rsi,0.004751103
macd_hist_lag2,0.004725371
month_sin,0.0045631197
energy_adx,0.004547155
eem_wr,0.0044770436
it_rsi,0.0044015036
vix_accel,0.0042965994
shanghai_rsi,0.00419348
natgas_rsi,0.0041869646
it_ret,0.0040916507
or_range,0.0038989303
vwap_dev,0.0038423934
hsi_ret,0.0037076073
pharma_macd,0.0035978642
metal_ret,0.003311121
gap_pct,0.0031805139
us10y_ret,0.0031253833
pharma_ret,0.0031218326
eem_ret,0.0029981202
crude_wr,0.002974559
crude_ret,0.002951158
body_pct,0.0026942233
inda_ret,0.0026194507
shanghai_ret,0.0023092532
auto_wr,0.0022865708
icici_wr,0.0019979333
tcs_ret,0.0017683323
copper_ret,0.001624739
gold_ret,0.001620884
itc_ret,0.0015596139
ema_dist_10,0.0015477529
upper_wick,0.0015353973
icici_ret,0.0014276118
roc_5,0.0010940969
dow_sin,0.0007448407
close_position,0.00019055206
ret_20d,0.0
ha_trend,0.0
momentum_div,0.0
cmf_proxy,0.0
obv_slope,0.0
gap_filled,0.0
bb_squeeze,0.0
dow_cos,0.0
vix_spike,0.0
trend,0.0
engulfing,0.0
auto_ret,0.0
fmcg_macd,0.0
rel_ret,0.0
hdfc_macd,0.0
energy_ret,0.0
it_wr,0.0
auto_macd,0.0
hdfc_wr,0.0
tcs_rsi,0.0
infra_macd,0.0
infra_ret,0.0
tcs_wr,0.0
copper_rsi,0.0
silver_ret,0.0
nikkei_ret,0.0
hsi_rsi,0.0
natgas_ret,0.0
ret_5d,0.0
ret_10d,0.0
sell_pct,0.0
