feature,importance
infra_macd,0.018617943
hdfc_adx,0.018389944
it_adx,0.01664241
eem_rsi,0.01638149
vix_usvix_ratio,0.014534157
us_vix_adx,0.012931993
tcs_macd,0.012802945
hdfc_macd,0.012548193
auto_macd,0.012511107
vix_lag2,0.012286718
month_cos,0.011844959
itc_wr,0.011640124
bn_macd,0.011563264
metal_wr,0.011353914
vix_lag3,0.011180005
energy_adx,0.011100902
cmf_proxy,0.010885601
bb_width,0.010768851
pharma_macd,0.010756598
rel_adx,0.010633201
natgas_macd,0.010602409
infra_adx,0.010601281
itc_macd,0.010397548
infra_rsi,0.009864249
kc_width,0.0097654415
metal_rsi,0.009722706
vix_lag5,0.00947817
it_macd,0.009410919
fmcg_adx,0.009409507
nikkei_macd,0.009406012
nikkei_rsi,0.009369452
auto_adx,0.009265481
bn_nifty_ratio,0.009264625
pe_ratio,0.009113524
body_pct,0.008956213
or_range,0.008923494
ema_dist_50,0.008856063
crude_adx,0.00880151
hsi_rsi,0.008625019
eem_macd,0.008623907
natgas_rsi,0.008521174
eem_ret,0.008311809
bn_rsi,0.00829737
bb_squeeze,0.008258948
vix_pct,0.008243042
metal_macd,0.00804721
eem_adx,0.008043328
copper_macd,0.008005469
icici_adx,0.007961417
adx,0.007932645
inda_macd,0.007844738
us_vix_macd,0.007829626
ndx_macd,0.0077692517
inda_adx,0.007753843
vix_lag1,0.007722487
macd_hist_lag3,0.007710007
fmcg_macd,0.0075400267
rel_macd,0.0075092628
energy_macd,0.007501026
rsi_lag2,0.007443534
rsi_lag5,0.0074271658
gold_macd,0.007352784
rel_rsi,0.007276838
pharma_adx,0.007271161
itc_adx,0.0071282894
dist_from_low_20,0.007106396
gold_rsi,0.0071052816
macd_hist_lag2,0.007074144
tcs_rsi,0.00706564
dxy_macd,0.006933929
range_pctile,0.006917937
macd_hist_lag1,0.00690255
icici_macd,0.006848014
crude_macd,0.0067572463
roc_20,0.0067497073
inda_wr,0.0067094895
gold_crude_ratio,0.0066112964
itc_rsi,0.006595865
pharma_wr,0.0065209772
hsi_macd,0.006519648
auto_wr,0.006431009
icici_rsi,0.0064110598
month_sin,0.006324769
tcs_adx,0.006264336
gold_adx,0.0061948285
vix_ma_ratio,0.0061903647
spread,0.006133006
hdfc_wr,0.006132171
silver_macd,0.0059747724
us10y_ret,0.005967821
z20,0.0059436555
ndx_rsi,0.005922678
us10y_macd,0.005895732
atr_ratio,0.0058890944
dxy_rsi,0.0058517205
hsi_ret,0.0058365427
it_rsi,0.005805038
energy_rsi,0.0056762504
fmcg_rsi,0.0056419894
us_vix_rsi,0.0055883196
copper_rsi,0.0054968037
ret_3d,0.005387937
hdfc_rsi,0.0053489716
ema_dist_10,0.005332241
us10y_rsi,0.0051938407
atr_expansion,0.00518182
auto_rsi,0.004763658
trend,0.004655102
vix_change,0.0046197884
metal_adx,0.0045754183
fmcg_wr,0.0045506684
eem_wr,0.004479726
pharma_rsi,0.0041322545
dist_from_high_20,0.0040175514
usdinr_z,0.00398684
macd_hist,0.003949821
icici_wr,0.0038885358
nikkei_ret,0.0038304299
shanghai_rsi,0.003795858
shanghai_macd,0.00371753
it_ret,0.0035920602
gold_wr,0.003473387
rsi_lag3,0.0032561128
copper_ret,0.003226611
roc_10,0.0031974802
intraday_trend,0.0031487865
silver_rsi,0.0028431523
us_vix_wr,0.0027029207
bn_vs_nifty,0.0022335413
sp_ret,0.002000099
fmcg_ret,0.0019633227
crude_wr,0.0019590338
upper_wick,0.0019470014
vwap_dev,0.0018029022
auto_ret,0.0016746134
lower_wick,0.0016462954
dxy_ret,0.001439866
rsi_lag1,0.00083396427
gold_ret,0.0007900536
crude_rsi,0.00019144944
tcs_wr,0.000144941
rsi,0.0
engulfing,0.0
roc_5,0.0
obv_slope,0.0
dow_cos,0.0
dow_sin,0.0
rsi_slope,0.0
vix_accel,0.0
williams_r,0.0
vix_spike,0.0
inda_ret,0.0
ret_20d,0.0
momentum_div,0.0
ha_trend,0.0
close_position,0.0
gap_pct,0.0
gap_filled,0.0
metal_ret,0.0
us_vix_ret,0.0
inda_rsi,0.0
crude_ret,0.0
pharma_ret,0.0
it_wr,0.0
rel_ret,0.0
hdfc_ret,0.0
rel_wr,0.0
energy_wr,0.0
energy_ret,0.0
ndx_ret,0.0
tcs_ret,0.0
infra_wr,0.0
itc_ret,0.0
icici_ret,0.0
infra_ret,0.0
natgas_ret,0.0
silver_ret,0.0
shanghai_ret,0.0
ret_5d,0.0
ret_10d,0.0
consec_up,0.0
buy_pct,0.0
sell_pct,0.0
